;01T03: Agriculture, forestry and fishing;05T06: Mining and extraction of energy producing products;07T08: Mining and quarrying of non-energy producing products;09: Mining support service activities;10T12: Food products, beverages and tobacco;13T15: Textiles, wearing apparel, leather and related products;16: Wood and products of wood and cork;17T18: Paper products and printing;19: Coke and refined petroleum products;20T21: Chemicals and pharmaceutical products;22: Rubber and plastic products;23: Other non-metallic mineral products;24: Basic metals;25: Fabricated metal products;26: Computer, electronic and optical products;27: Electrical equipment;28: Machinery and equipment, nec;29: Motor vehicles, trailers and semi-trailers;30: Other transport equipment;"31T33: Other manufacturing; repair and installation of machinery and equipment";35T39: Electricity, gas, water supply, sewerage, waste and remediation services;41T43: Construction;"45T47: Wholesale and retail trade; repair of motor vehicles";49T53: Transportation and storage;55T56: Accomodation and food services;58T60: Publishing, audiovisual and broadcasting activities;61: Telecommunications;62T63: IT and other information services;64T66: Financial and insurance activities;68: Real estate activities;69T82: Other business sector services;"84: Public admin. and defence; compulsory social security";85: Education;86T88: Human health and social work;90T96: Arts, entertainment, recreation and other service activities
01T03: Agriculture, forestry and fishing;67012.6;103.4;27.2;10.2;221344.9;2197.8;8765.8;3937.3;15.7;5128.2;227.7;21.9;138.5;41.4;3.5;4.4;25.6;32.2;18.3;940.0;113.8;1771.8;3999.1;79.6;2242.4;23.8;14.9;63.3;55.4;314.2;3992.7;2090.4;693.9;1735.3;1363.9
05T06: Mining and extraction of energy producing products;2211.3;20554.0;4843.5;7971.8;8068.1;74.5;73.8;463.7;251591.7;27125.0;151.2;779.4;9613.2;104.6;16.4;30.7;237.6;121.8;418.4;308.3;41877.5;944.4;670.7;7094.5;277.5;90.5;416.6;110.3;361.3;229.7;5912.0;20054.8;382.4;2687.8;3577.0
07T08: Mining and quarrying of non-energy producing products;551.1;1199.9;836.4;726.5;671.5;34.2;37.4;500.6;1531.1;7190.3;151.3;6349.6;17808.5;1513.0;122.1;301.6;475.3;353.5;157.9;804.3;491.7;10451.8;666.5;353.8;65.5;6.9;16.9;9.8;23.1;1466.3;605.2;1388.6;37.7;163.5;195.5
09: Mining support service activities;3070.6;27907.3;9294.0;15182.3;10156.8;2.9;5.4;11.9;436.8;4431.8;13.2;7.3;1083.5;48.5;7.4;9.0;34.0;60.3;106.5;11.9;537.9;95.1;28.5;27.5;16.2;3.7;8.6;7.3;7.3;65.2;5618.6;87.5;4.4;17.5;148.3
10T12: Food products, beverages and tobacco;32898.8;40.2;20.0;21.7;109205.7;627.0;263.5;1915.2;514.4;9607.9;1679.5;244.7;271.0;390.2;180.3;151.0;398.5;888.1;394.5;537.1;494.6;1400.9;14772.9;935.8;103985.8;328.8;172.6;201.8;545.3;1336.6;4232.0;16752.1;2774.9;20849.1;6603.2
13T15: Textiles, wearing apparel, leather and related products;356.0;59.9;28.6;27.0;587.9;11850.3;629.6;2131.7;65.5;2129.7;2063.9;270.7;93.0;188.1;149.5;70.8;647.0;4312.8;948.4;5590.7;268.6;1482.6;7163.8;925.7;989.3;187.2;93.8;165.7;348.9;237.2;2377.2;5265.9;419.0;5415.3;2442.0
16: Wood and of products of wood and cork (except furniture);745.1;160.4;72.2;20.6;800.4;119.2;19684.7;4820.8;8.5;1218.7;1232.0;304.4;144.4;485.4;128.7;248.2;666.3;2950.0;730.9;16448.9;596.0;25108.9;3051.1;683.7;3177.4;237.3;126.3;182.2;130.7;4479.0;3878.4;3127.4;259.4;934.3;1878.6
17T18: Paper products and printing;864.6;66.5;71.0;27.3;12726.7;1812.7;823.2;44981.7;99.0;6696.4;5593.8;1260.7;835.3;2908.9;576.1;849.7;1956.1;4846.0;1323.8;3070.3;1840.6;4572.1;13367.7;3235.1;7034.1;8316.5;2382.0;3109.5;5304.1;833.1;18660.2;15413.6;2882.5;10312.3;6483.5
19: Coke and refined petroleum products;10126.4;507.6;704.0;382.5;4523.9;312.0;593.6;3180.1;4852.4;25880.0;1423.5;735.6;5591.2;1167.1;155.1;760.2;1189.4;859.8;2349.5;1421.2;8364.7;26306.0;3998.7;88382.6;2094.4;461.8;1605.7;1421.2;2337.4;3197.1;12335.1;56326.6;1594.6;6481.2;5032.3
20T21: Chemicals and pharmaceutical products;16289.2;701.3;348.3;283.0;7120.1;5688.3;2626.9;10052.1;7325.3;106423.0;36591.4;3196.8;5974.9;6845.1;3214.2;2538.4;4774.9;10886.4;4495.4;5131.6;2171.9;11890.3;10437.7;4685.4;2841.8;1813.0;1184.3;707.2;935.4;6011.6;13098.4;13024.2;2668.6;82628.8;7452.8
