Source,Target,Type
267,1394,Directed
267,483,Directed
267,1051,Directed
904,1479,Directed
904,919,Directed
904,1045,Directed
904,1330,Directed
904,1108,Directed
904,995,Directed
904,963,Directed
904,1000,Directed
904,1192,Directed
904,1067,Directed
904,1270,Directed
904,1437,Directed
904,1037,Directed
903,855,Directed
903,1008,Directed
982,1429,Directed
982,952,Directed
982,892,Directed
982,1479,Directed
982,956,Directed
982,1306,Directed
982,810,Directed
982,1437,Directed
982,1112,Directed
982,1051,Directed
982,826,Directed
982,1478,Directed
982,979,Directed
982,1255,Directed
1167,963,Directed
1167,802,Directed
1167,842,Directed
1167,1408,Directed
1167,862,Directed
1167,1437,Directed
708,374,Directed
708,508,Directed
708,99,Directed
708,483,Directed
968,1063,Directed
968,297,Directed
968,756,Directed
968,919,Directed
968,936,Directed
968,862,Directed
968,898,Directed
968,1184,Directed
968,1250,Directed
968,539,Directed
968,1360,Directed
968,119,Directed
1223,878,Directed
1223,782,Directed
1223,1245,Directed
1223,323,Directed
1223,1463,Directed
1223,1277,Directed
1223,1429,Directed
1223,1478,Directed
1223,1325,Directed
1223,798,Directed
1223,1134,Directed
1223,1051,Directed
1223,490,Directed
1223,963,Directed
1223,1270,Directed
1223,1063,Directed
1223,1250,Directed
1223,944,Directed
1223,1179,Directed
1223,936,Directed
1223,967,Directed
1223,1330,Directed
1223,1461,Directed
1223,892,Directed
1223,932,Directed
1223,1041,Directed
1223,1086,Directed
1223,1112,Directed
1223,1337,Directed
1223,1152,Directed
1223,1191,Directed
1223,1435,Directed
1223,835,Directed
1223,1390,Directed
1223,1222,Directed
1223,1413,Directed
1223,1418,Directed
1223,818,Directed
1223,756,Directed
1223,941,Directed
1223,1013,Directed
1223,1217,Directed
1223,1437,Directed
1223,729,Directed
1223,150,Directed
1223,119,Directed
1223,1209,Directed
1223,1381,Directed
1223,1306,Directed
1223,1459,Directed
1223,883,Directed
1223,539,Directed
1223,1040,Directed
1223,641,Directed
993,1232,Directed
993,1051,Directed
993,1317,Directed
993,1461,Directed
993,1373,Directed
993,1459,Directed
993,276,Directed
993,941,Directed
993,1240,Directed
993,1298,Directed
993,1330,Directed
993,908,Directed
993,855,Directed
993,1179,Directed
993,1041,Directed
993,1112,Directed
993,1153,Directed
993,1245,Directed
993,837,Directed
993,170,Directed
993,1277,Directed
993,798,Directed
993,1217,Directed
993,878,Directed
993,1479,Directed
993,963,Directed
993,865,Directed
14,454,Directed
14,570,Directed
14,55,Directed
14,818,Directed
14,99,Directed
14,118,Directed
14,144,Directed
14,150,Directed
14,1337,Directed
14,155,Directed
14,650,Directed
14,180,Directed
14,323,Directed
14,1051,Directed
14,119,Directed
14,1086,Directed
14,347,Directed
14,405,Directed
14,480,Directed
14,493,Directed
14,492,Directed
14,729,Directed
14,885,Directed
14,932,Directed
14,563,Directed
14,577,Directed
14,1325,Directed
14,634,Directed
14,676,Directed
14,642,Directed
14,641,Directed
14,535,Directed
14,644,Directed
14,312,Directed
14,1152,Directed
14,1461,Directed
14,726,Directed
14,72,Directed
14,301,Directed
14,756,Directed
14,547,Directed
14,154,Directed
14,297,Directed
14,187,Directed
14,460,Directed
14,495,Directed
14,387,Directed
14,394,Directed
14,434,Directed
14,441,Directed
14,189,Directed
14,669,Directed
14,591,Directed
14,1317,Directed
14,1437,Directed
14,483,Directed
14,1478,Directed
14,1479,Directed
14,1179,Directed
14,687,Directed
14,1041,Directed
14,798,Directed
1238,1250,Directed
1238,892,Directed
1238,276,Directed
1238,990,Directed
1238,1051,Directed
1238,1055,Directed
1238,1153,Directed
1238,1185,Directed
1238,1232,Directed
1238,1245,Directed
1238,893,Directed
1238,1437,Directed
1238,1461,Directed
1238,963,Directed
1238,1270,Directed
891,155,Directed
891,855,Directed
891,1245,Directed
891,826,Directed
891,979,Directed
766,1159,Directed
766,855,Directed
766,913,Directed
766,1293,Directed
434,24,Directed
434,46,Directed
434,55,Directed
434,115,Directed
434,85,Directed
434,102,Directed
434,114,Directed
434,480,Directed
434,154,Directed
434,155,Directed
434,159,Directed
434,75,Directed
434,180,Directed
434,172,Directed
434,210,Directed
434,229,Directed
434,204,Directed
434,641,Directed
434,664,Directed
434,402,Directed
434,405,Directed
434,363,Directed
434,465,Directed
434,436,Directed
434,443,Directed
434,441,Directed
434,472,Directed
434,483,Directed
434,492,Directed
434,493,Directed
434,514,Directed
434,517,Directed
434,591,Directed
434,754,Directed
434,623,Directed
434,637,Directed
434,642,Directed
434,676,Directed
434,535,Directed
434,687,Directed
434,341,Directed
434,1270,Directed
434,23,Directed
434,726,Directed
434,1245,Directed
1161,1463,Directed
1161,1250,Directed
1161,1000,Directed
1161,1122,Directed
1161,810,Directed
1161,779,Directed
1161,781,Directed
1161,798,Directed
1161,826,Directed
1161,919,Directed
1161,961,Directed
1161,966,Directed
1161,1191,Directed
1161,1021,Directed
1161,1045,Directed
1161,1051,Directed
1161,1055,Directed
1161,119,Directed
1161,1069,Directed
1161,1101,Directed
1161,1121,Directed
1161,1112,Directed
1161,1135,Directed
1161,1153,Directed
1161,1437,Directed
1161,1223,Directed
1161,1231,Directed
1161,1245,Directed
1161,539,Directed
1161,1277,Directed
1161,1317,Directed
1161,1325,Directed
1161,1337,Directed
1161,1330,Directed
1161,1179,Directed
1161,932,Directed
1161,1013,Directed
1161,1429,Directed
1161,1478,Directed
1161,1479,Directed
1161,855,Directed
1364,963,Directed
1364,1146,Directed
1364,980,Directed
1364,1105,Directed
1364,1479,Directed
1364,1306,Directed
1364,1201,Directed
1364,1153,Directed
1364,1000,Directed
1364,1251,Directed
1364,802,Directed
1364,1041,Directed
1364,1112,Directed
1364,1245,Directed
1364,950,Directed
1364,1206,Directed
1364,1489,Directed
1364,946,Directed
1364,952,Directed
1364,1045,Directed
1364,1330,Directed
1364,1101,Directed
1364,930,Directed
1364,1093,Directed
1364,842,Directed
1364,814,Directed
1364,1402,Directed
1364,1366,Directed
1364,1037,Directed
1364,775,Directed
1364,1437,Directed
1024,885,Directed
1024,1479,Directed
1024,1346,Directed
1024,762,Directed
1024,1007,Directed
1024,822,Directed
1024,1051,Directed
1024,973,Directed
1024,1437,Directed
1024,941,Directed
1024,922,Directed
1024,1489,Directed
1024,1172,Directed
1024,963,Directed
1024,1067,Directed
1024,1000,Directed
765,1153,Directed
765,1250,Directed
765,1482,Directed
765,824,Directed
765,1051,Directed
765,830,Directed
765,1041,Directed
765,963,Directed
765,1245,Directed
765,1251,Directed
765,1455,Directed
765,1122,Directed
765,762,Directed
765,855,Directed
765,878,Directed
765,1121,Directed
765,990,Directed
765,1008,Directed
765,1048,Directed
765,1112,Directed
765,1270,Directed
765,1179,Directed
765,1463,Directed
765,1063,Directed
765,1081,Directed
765,826,Directed
765,150,Directed
765,1164,Directed
765,961,Directed
765,1209,Directed
765,1222,Directed
765,1232,Directed
765,1293,Directed
765,1392,Directed
765,1191,Directed
765,1437,Directed
765,1461,Directed
765,1479,Directed
765,988,Directed
765,885,Directed
765,1330,Directed
765,741,Directed
765,792,Directed
765,936,Directed
765,490,Directed
765,641,Directed
765,1419,Directed
765,729,Directed
765,782,Directed
765,791,Directed
765,119,Directed
765,883,Directed
765,1152,Directed
765,1197,Directed
765,1277,Directed
765,1306,Directed
765,1317,Directed
765,952,Directed
765,1418,Directed
765,1429,Directed
765,1459,Directed
765,1478,Directed
765,786,Directed
765,1101,Directed
765,1348,Directed
765,154,Directed
765,798,Directed
765,155,Directed
765,170,Directed
765,55,Directed
765,756,Directed
765,609,Directed
765,535,Directed
765,389,Directed
535,1179,Directed
535,323,Directed
535,677,Directed
535,729,Directed
535,493,Directed
535,396,Directed
535,453,Directed
535,85,Directed
535,405,Directed
535,756,Directed
535,641,Directed
535,55,Directed
535,480,Directed
535,150,Directed
535,155,Directed
535,159,Directed
535,180,Directed
535,1051,Directed
535,145,Directed
535,301,Directed
535,99,Directed
535,186,Directed
535,727,Directed
535,394,Directed
535,187,Directed
535,441,Directed
535,460,Directed
535,210,Directed
535,642,Directed
535,514,Directed
535,1463,Directed
535,687,Directed
1270,442,Directed
1270,1041,Directed
1270,1153,Directed
1270,1179,Directed
1270,1245,Directed
180,27,Directed
180,609,Directed
180,154,Directed
180,585,Directed
180,454,Directed
180,640,Directed
180,547,Directed
180,55,Directed
180,756,Directed
180,729,Directed
180,374,Directed
180,642,Directed
180,210,Directed
180,634,Directed
180,703,Directed
180,144,Directed
180,492,Directed
180,650,Directed
180,641,Directed
180,493,Directed
180,644,Directed
180,623,Directed
180,72,Directed
180,664,Directed
180,35,Directed
180,669,Directed
180,687,Directed
180,591,Directed
180,297,Directed
180,563,Directed
180,363,Directed
180,65,Directed
180,387,Directed
180,14,Directed
180,394,Directed
180,441,Directed
180,31,Directed
180,145,Directed
180,155,Directed
180,434,Directed
180,460,Directed
180,570,Directed
180,347,Directed
180,483,Directed
180,577,Directed
180,754,Directed
180,566,Directed
180,712,Directed
180,489,Directed
180,150,Directed
180,436,Directed
180,371,Directed
180,472,Directed
180,288,Directed
180,676,Directed
180,189,Directed
180,205,Directed
180,615,Directed
180,118,Directed
180,512,Directed
180,187,Directed
180,202,Directed
180,13,Directed
180,1051,Directed
180,405,Directed
180,826,Directed
180,431,Directed
180,1245,Directed
180,561,Directed
180,726,Directed
180,798,Directed
1169,1153,Directed
1216,431,Directed
1216,798,Directed
1216,802,Directed
1216,155,Directed
1216,1021,Directed
1216,1051,Directed
1216,1112,Directed
1216,1134,Directed
1216,995,Directed
1216,641,Directed
1216,963,Directed
1082,762,Directed
1082,968,Directed
1082,944,Directed
1082,964,Directed
1082,1455,Directed
1082,312,Directed
1082,1101,Directed
1082,1144,Directed
1082,1150,Directed
1082,1197,Directed
1082,817,Directed
1082,1310,Directed
1082,1184,Directed
1254,1153,Directed
1254,963,Directed
1254,1047,Directed
1254,773,Directed
1254,941,Directed
1254,1028,Directed
1254,879,Directed
1254,387,Directed
1254,956,Directed
1254,904,Directed
1254,907,Directed
1254,1052,Directed
1254,1201,Directed
1254,782,Directed
1254,762,Directed
1254,990,Directed
1254,1101,Directed
250,1021,Directed
250,544,Directed
250,727,Directed
250,564,Directed
932,1048,Directed
932,826,Directed
932,919,Directed
932,1339,Directed
932,1461,Directed
402,401,Directed
402,642,Directed
402,493,Directed
402,155,Directed
402,23,Directed
402,55,Directed
402,85,Directed
402,102,Directed
402,127,Directed
402,188,Directed
402,204,Directed
402,233,Directed
402,292,Directed
402,363,Directed
402,434,Directed
402,443,Directed
